url,title,year,location,date,sale_number,artist,title,medium,size,signage,provenance,condition,price,url,auctionUrl
https://www.menziesartbrands.com/items/21895,Beach Life (Flag and Figures),2025,,09 April 2025,,NICHOLAS HARDING (1956-2022),Beach Life (Flag and Figures),oil on canvas,76.5 x 71.5 cm; 80.0 x 74.5 cm (framed),,,,"$46,000",https://www.menziesartbrands.com/items/21895,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21896,Infinity Nets,2025,,09 April 2025,,"YAYOI KUSAMA born 1929, Japanese",Infinity Nets,colour screenprint,52.5 x 45.0 cm (image); 64.5 x 55.5 cm (sheet); 71.0 x 56.5 cm (framed),,,,"$26,000",https://www.menziesartbrands.com/items/21896,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21897,My Country,2025,,09 April 2025,,EMILY KAME KNGWARREYE (c1910-1996),My Country,synthetic polymer paint on linen,90.5 x 60.0 cm,,,,"$65,000",https://www.menziesartbrands.com/items/21897,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21898,Gone to the Dogs,2025,,09 April 2025,,BLAK DOUGLAS (ADAM HILL) born 1970,Gone to the Dogs,synthetic polymer paint on canvas,86.0 x 230.0 cm,,,,"$4,200",https://www.menziesartbrands.com/items/21898,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21899,My Grandfather's Country,2025,,09 April 2025,,SALLY GABORI (c1924-2015),My Grandfather's Country,synthetic polymer paint on linen,152.0 x 101.0 cm,,,,"$30,000",https://www.menziesartbrands.com/items/21899,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21900,"The Great Rift Valley of Almos, 12th Moon of Jupiter",2025,,09 April 2025,,JAMES MORRISON born 1959,"The Great Rift Valley of Almos, 12th Moon of Jupiter",oil on canvas,100.5 x 100.5 cm,,,,"$7,500",https://www.menziesartbrands.com/items/21900,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21901,Introduction,2025,,09 April 2025,,GREGORY HODGE & CLARE THACKWAY born 1982 & born 1984,Introduction,synthetic polymer paint and oil on canvas,183.0 x 137.0 cm,,,,"$12,000",https://www.menziesartbrands.com/items/21901,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21902,"Ghost Gum near Jay Creek, MacDonnell Ranges",2025,,09 April 2025,,ALBERT NAMATJIRA (1902-1959),"Ghost Gum near Jay Creek, MacDonnell Ranges",watercolour on paper,25.5 x 35.5 cm; 40.0 x 50.5 cm (framed),,,,"$40,000",https://www.menziesartbrands.com/items/21902,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21903,"Ghost Gum and Mount Sonder, MacDonnell Ranges",2025,,09 April 2025,,ALBERT NAMATJIRA (1902-1959),"Ghost Gum and Mount Sonder, MacDonnell Ranges",watercolour on paper,27.0 x 37.0 cm; 50.0 x 60.0 cm (framed),,,,"$42,000",https://www.menziesartbrands.com/items/21903,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21904,"Fading Day, Duramana",2025,,09 April 2025,,LLOYD REES (1895-1988),"Fading Day, Duramana",oil on canvas on board,39.0 x 49.0 cm; 57.0 x 66.5 cm (framed),,,,"$17,000",https://www.menziesartbrands.com/items/21904,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21905,Blazeline,2025,,09 April 2025,,TIM STORRIER born 1949,Blazeline,oil on linen,51.5 x 91.5 cm; 85.5 x 99.0 cm (framed),,,,"$36,000",https://www.menziesartbrands.com/items/21905,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21906,The Gull,2025,,09 April 2025,,BRETT WHITELEY (1939-1992),The Gull,ink on paper,35.0 x 32.0 cm; 66.0 x 61.0 cm (framed),,,,"$24,000",https://www.menziesartbrands.com/items/21906,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21907,Night Owl,2025,,09 April 2025,,BRETT WHITELEY (1939-1992),Night Owl,sepia ink on paper,74.5 x 52.5 cm; 109.0 x 63.0 cm (framed),,,,"$27,000",https://www.menziesartbrands.com/items/21907,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21908,Study for Two Men Lifting a Cow,2025,,09 April 2025,,JOHN KELLY born 1965,Study for Two Men Lifting a Cow,oil on canvas,23.0 x 30.0 cm; 25.5 x 33.0 cm (framed),,,,"$30,000",https://www.menziesartbrands.com/items/21908,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21909,Family Portrait with Honey Licking,2025,,09 April 2025,,WILLIAM ROBINSON born 1936,Family Portrait with Honey Licking,pastel on paper,59.0 x 87.0 cm; 81.5 x 109.0 cm (framed),,,,"$15,000",https://www.menziesartbrands.com/items/21909,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21910,Glass House Mountains,2025,,09 April 2025,,ETHEL CARRICK (1872-1952),Glass House Mountains,oil on canvas on board,26.0 x 36.0 cm; 46.5 x 56.0 cm (framed),,,,"$17,000",https://www.menziesartbrands.com/items/21910,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21911,Guéthary,2025,,09 April 2025,,BESSIE DAVIDSON (1879-1965),Guéthary,oil on compressed card,29.0 x 41.0 cm; 40.0 x 52.0 cm (framed),,,,"$8,500",https://www.menziesartbrands.com/items/21911,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21912,Hibiscus,2025,,09 April 2025,,MARGARET PRESTON (1875-1963),Hibiscus,hand-coloured woodcut,24.5 x 25.0 cm (image); 28.5 x 27.5 cm (sheet),,,,"$17,000",https://www.menziesartbrands.com/items/21912,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21913,Wildflowers in a Jug,2025,,09 April 2025,,GRACE COSSINGTON SMITH (1892-1984),Wildflowers in a Jug,oil on cardboard,40.0 x 33.0 cm; 50.0 x 42.5 cm (framed),,,,"$44,000",https://www.menziesartbrands.com/items/21913,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21914,Jug and Three Pears,2025,,09 April 2025,,GRACE COSSINGTON SMITH (1892-1984),Jug and Three Pears,oil on board,29.5 x 25.5 cm; 51.0 x 47.5 cm (framed),,,,"$38,000",https://www.menziesartbrands.com/items/21914,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21915,Chianti Bottle and Pomegranates II,2025,,09 April 2025,,MARGARET OLLEY (1923-2011),Chianti Bottle and Pomegranates II,oil on board,50.5 x 60.5 cm; 65.5 x 75.5 cm (framed),,,,"$50,000",https://www.menziesartbrands.com/items/21915,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21916,Hunting & Collecting - The Trophy Room,2025,,09 April 2025,,KATE BERGIN born 1968,Hunting & Collecting - The Trophy Room,oil on canvas,168.0 x 198.0 cm; 171.5 x 202.0 cm (framed),,,,"$77,500",https://www.menziesartbrands.com/items/21916,https://www.menziesartbrands.com/catalogue-details/25APR
https://www.menziesartbrands.com/items/21917,Car Painting 2,2025,,09 April 2025,,BEN QUILTY born 1973,Car Painting 2,oil on linen,140.0 x 190.0 cm,,,,"$65,000",https://www.menziesartbrands.com/items/21917,https://www.menziesartbrands.com/catalogue-details/25APR
